"Family Name","Couple Name","Family Phone","Family Email","Family Address","Head Of House Name","Head Of House Phone","Head Of House Email","Spouse Name","Spouse Phone","Spouse Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email","Child Name","Child Phone","Child Email"
"Wilcoxen","Wilcoxen, Todd & Anne","336-270-8313","","1698 Briarhill Lane Youngstown, OH 44507 ","Wilcoxen, Todd","","","Wilcoxen, Anne","305-742-6026","","Wilcoxen, Carolyn","","CarolynJSanders@mailinator.com"
"Marino","Marino, Ray & Kathleen","562-242-7559","","1634 Sigley Road Topeka, KS 66604 ","Marino, Ray","785-478-6263","","Marino, Kathleen","617-358-5482","","Marino, Corey","","","Marino, John","","","Marino, Debra","","DebraKRedick@spambob.com"
"Fletcher","Fletcher, Jerry & Linda","","","2742 Mattson Street Beaverton, OR 97005 ","Fletcher, Jerry","503-350-1869","","Fletcher, Linda","","","Fletcher, Helen","","HelenSGarrison@dodgit.com"
"Mahr","Mahr, Greg & Kim","605-665-4110","","2973 Pritchard Court Redwood Falls, MN 56283 ","Mahr, Greg","","GregGWilson@mailinator.com","Mahr, Kim","248-668-2296","KimBHarrington@pookmail.com"
"Owens","Owens, Robert & Crystal G","","MaggieDWaterfield@pookmail.com","3669 Michigan Avenue Pittsburgh, PA 15219 ","Owens, Robert","","RobertCSingleton@spambob.com","Owens, Crystal G","","CrystalGFarris@mailinator.com"
"Folsom","Folsom, George & Janice D","607-279-1092","HerbertGOakes@mailinator.com","607 Jerry Dove Drive Florence, SC 29501 ","Folsom, George","","","Folsom, Janice","","JaniceDPena@pookmail.com"
"Davis","Davis, Ricardo & Norma","","","521 Deans Lane Manhattan, NY 10016 ","Davis, Ricardo","","","Davis, Norma","",""
"Hackett","Hackett, Lester D & Ofelia","","AgustinaBFortin@pookmail.com","2504 Broadcast Drive Reston, VA 22091 ","Hackett, Lester D","703-962-3750","","Hackett, Ofelia","",""
"Flowers","Flowers, Thomas","972-591-8892","","151 Coal Road Scranton, PA 18503 ","Flowers, Thomas","","","","","","Flowers, Florene T","","","Flowers, Christopher","915-867-1951",""
"Cates","Cates, Vincent M & Winnie","225-266-8829","","84 School Street Bloomfield, CT 06002 ","Cates, Vincent M","","","Wilcoxen, Winnie","",""
"Hirsh","Hirsh, Mark R","706-230-8642","","821 Libby Street Los Angeles, CA 90017 ","Hirsh, Mark R","","","","","","Hirsh, Jaclyn","",""
"Jones","Jones, Laura G","925-663-4957","","4823 Hartland Avenue Green Bay, WI 54302 ","Jones, Laura G","","","","",""
"Koenig","Koenig, William & Shawn","","ThomasGMcKinney@mailinator.com","4344 Metz Lane Camden, NJ 08102 ","Koenig, William","","","Koenig, Shawn","858-564-4447",""
"Hasbrouck","Hasbrouck, Gerald & Margaret J","219-937-7824","","279 Jones Avenue Winston Salem, NC 27101 ","Hasbrouck, Gerald","","GeraldKCopley@pookmail.com","Hasbrouck, Margaret","847-930-5719","MargaretJRice@spambob.com"
"Kennedy","Kennedy, Richard","618-586-5884","MicheleJGriffin@spambob.com","820 Saint James Drive Harrisburg, PA 17102 ","Kennedy, Richard","717-473-8733","","","",""
"Magill","Magill, George & Jessie","","DanielBBurke@pookmail.com","18 Kildeer Drive Newport News, VA 23607 ","Magill, George","","","Magill, Jessie","907-493-2220","JessieAGholson@mailinator.com"
"Whitaker","Whitaker, Parker & Glenda","501-202-6036","","883 Elk Creek Road Atlanta, GA 30303 ","Whitaker, Parker","","","Whitaker, Glenda","",""
"Malone","Malone, Evelyn","330-998-9718","","4183 Boone Crockett Lane Bremerton, WA 98337 ","Malone, Evelyn","","","","","","Malone, Della","",""
"Hall","Hall, Richard & Teresa","410-286-3978","","1472 Strother Street Birmingham, AL 35203 ","Hall, Richard","205-607-1735","RichardTRobinson@dodgit.com","Hall, Teresa","",""
"Villalobos","Villalobos, Ellis & Betty","508-497-7325","","4820 Sussex Court Dallas, TX 75234 ","Villalobos, Ellis","","","Villalobos, Betty","","BettyEGibson@pookmail.com","Villalobos, Latonya","","","Villalobos, Nellie","517-446-2885","","Villalobos, Pamela","",""
"Storey","Storey, Anthony & Norma","707-324-1223","","4707 Camel Back Road Tulsa, OK 74120 ","Storey, Anthony","","","Storey, Norma","",""
"Brooks","Brooks, James & Lois","907-366-2486","","3000 Wright Court Birmingham, AL 35210 ","Brooks, James","","","England, Lois M","",""
"Weatherby","Weatherby, Harley & Andrea","","HarryDJohnson@mailinator.com","857 Kembery Drive Chicago, IL 60601 ","Weatherby, Harley","630-566-9413","","Weatherby, Andrea S","","","Weatherby, Sean","830-635-2808","SeanPNelson@spambob.com","Weatherby, Courtney","",""
"Ritenour","Ritenour, Barry & Lessie","719-687-6918","","1299 Ford Street Santa Clara, CA 95050 ","Ritenour, Barry","","","Ritenour, Lessie","",""
"Marquez","Marquez, Mike & Gabrielle","410-286-3978","","2580 Wildrose Lane Southfield, MI 48075 ","Marquez, Mike","","MikeSMorrow@spambob.com","Marquez, Gabrielle","","","Burns, Frank","732-679-8245","","Murrah, James","",""
"Palmer","Palmer, Alan","918-756-6287","","4842 Midway Road Fort Smith, AR 72908 ","Palmer, Alan","","","","","","Palmer, Moses","315-218-6565",""
"Shepherd","Shepherd, Ron & Mildred","405-239-5522","","3909 Candlelight Drive La Porte, TX 77571 ","Shepherd, Ron","","","Shepherd, Mildred","",""
"Hoffman","Hoffman, Patrick & Ruth","914-448-4601","","311 Laurel Lee Kansas City, MO 64106 ","Hoffman, Patrick","660-212-1361","","Hoffman, Ruth","","RuthMLove@trashymail.com"
"Harper","Harper, Herman & Glenda","270-370-7592","","639 Harley Vincent Drive Mayfield Heights, OH 44124 ","Harper, Herman","440-720-4297","","Harper, Glenda","717-273-6687","GlendaGJones@trashymail.com","Harper, Willie M","646-672-6826","","Harper, Sammy","","","Harper, Arthur","","ArthurVSnow@spambob.com"
"Spencer","Spencer, Brandon & Sue","","","2423 Joyce Street Wilson, NC 27893 ","Spencer, Brandon","252-234-9724","BrandonBKumar@spambob.com","Spencer, Sue","","","Spencer, Marie","214-724-4161",""
"Gunter","Gunter, Amanda","","","237 Yorkie Lane Hazlehurst, GA 31539 ","Gunter, Amanda","912-699-8629","","","","","Gunter, Juanita","248-256-5115","","Gunter, Louis","919-688-2910","","Gunter, Ernest","",""
"Medina","Medina, Michael","559-865-7326","ErasmoADitch@pookmail.com","4802 Angie Drive Los Angeles, CA 90017 ","Medina, Michael","","","","","","Medina, Blanche","","","Medina, Gracie","630-306-7276","","Medina, Terrence","","","Medina, Tanya","","","Medina, Gabrielle","","","Medina, Jennifer","","","Medina, Carol","605-544-4079",""
"Eaton","Eaton, Dorothy","202-593-7610","CherylRMcKinney@dodgit.com","2745 Hickman Street Oak Brook, IL 60523 ","Eaton, Dorothy","630-442-5220","","","","","Eaton, Virginia","","VirginiaDBenson@mailinator.com"
"Villa","Villa, Courtney","435-634-8184","","2359 Mount Olive Road Duluth, GA 30097 ","Villa, Courtney","","","","",""
"Kyle","Kyle, Jason","319-270-5409","GarySGuynn@trashymail.com","3122 Marcus Street Huntsville, AL 35816 ","Kyle, Jason","256-665-5647","JasonGGreenman@mailinator.com","","","","Kyle, Nicholas","806-278-4395",""
"Price","Price, Andre & Lucille","708-445-4233","","3746 Circle Drive Houston, TX 77002 ","Price, Andre","","","Price, Lucille","",""
"Jordan","Jordan, Jody & Kathleen","407-729-2166","","4030 Hill Haven Drive Federal Way, WA 98003 ","Jordan, Jody","","","Jordan, Kathleen","",""
"Cates","Cates, Todd & Donna","541-760-5910","","3644 Garfield Road Seaton, IL 61476 ","Cates, Todd","","","Cates, Donna","314-434-6928",""
"Hill","Hill, Michael & Laura","732-375-1562","","2254 Broadcast Drive Charlotte, NC 28206 ","Hill, Michael","","MichaelVVermillion@dodgit.com","Hill, Laura","352-603-1476",""
"Carmichael","Carmichael, Maurice & May","425-660-5784","MattMRooney@mailinator.com","1001 Villa Drive South Bend, IN 46601 ","Carmichael, Maurice","","","Carmichael, May","",""
"McCoy","McCoy, Tom & Katherine","","","4184 Winifred Way Indianapolis, IN 46278 ","McCoy, Tom","","","McCoy, Katherine","",""
"Ryan","Ryan, Gary & Maria","","","877 Twin Oaks Drive Big Rapids, MI 49307 ","Ryan, Gary","","","Ryan, Maria","",""
"Waldon","Waldon, Lewis & Toni","413-442-6095","SteveBJohnson@spambob.com","4103 Grove Avenue Kingfisher, OK 73750 ","Waldon, Lewis","580-322-2506","","Waldon, Toni","646-786-8058",""
"Cunningham","Cunningham, Alex & Michelle","561-251-4492","","435 Ashton Lane Austin, TX 78744 ","Cunningham, Alex","512-554-4428","","Cunningham, Michelle","","MichelleMSchreiber@pookmail.com","Cunningham, Amy S","",""
"Matheny","Matheny, Simone","","","39 Badger Pond Lane Skyway, FL 33711 ","Matheny, Simone","","","","",""
"Mowery","Mowery, Forest & Teresa","630-567-1571","","4402 Twin House Lane Springfield, MO 65806 ","Mowery, Forest","","","Mowery, Teresa","858-720-5905","","Mowery, Angelo","760-888-8893","","Mowery, Edward V","",""
"McCullough","McCullough, William & Sandra S","541-231-1523","CrystalRGonzalez@pookmail.com","2049 Parkview Drive Anaheim, CA 92806 ","McCullough, William","","","McCullough, Sandra S","",""
"Reid","Reid, Terry & Betty","301-857-7364","","933 Garfield Road Peoria, IL 61602 ","Reid, Terry","","TerrySCooke@dodgit.com","Reid, Betty","","","Reid, Thomas","479-254-2089","","Reid, Fidel","","","Reid, Brandon","512-437-1715","BrandonERobertson@trashymail.com","Reid, Diane","650-742-9145",""
"Pereira","Pereira, James & Anna","770-464-5086","JohnJCardwell@pookmail.com","3624 Cost Avenue Hagerstown, MD 21740 ","Pereira, James","301-465-0736","","Pereira, Anna","","AnnaBLacey@mailinator.com"
"Wilkins","Wilkins, Clinton & Betty","941-373-2110","","863 Elkview Drive Hialeah, FL 33012 ","Wilkins, Clinton","","","Wilkins, Betty","612-722-8446","","Wilkins, Kasey","","","Wilkins, Susan","",""
"Dawkins","Dawkins, Kenneth & Peggy","508-277-2097","","1876 Nash Street Detroit, MI 48226 ","Dawkins, Kenneth","","","Boland, Peggy","",""
"Neil","Neil, Daisy","850-461-1127","","3859 Ash Street Frisco, TX 75034 ","Neil, Daisy","","","","",""
"Miller","Miller, Erik E & Cynthia A","","","4083 Ralph Drive Painesville, OH 44077 ","Miller, Erik E","","","Miller, Cynthia","","CynthiaARobles@dodgit.com","Miller, Frances","",""
"Correa","Correa, Leon & Brenda","662-590-3090","JamesBBeasley@dodgit.com","4535 James Avenue Macedon, NY 14502 ","Correa, Leon","","","Correa, Brenda","","","Correa, Kevin","",""
"Dewey","Dewey, Joshua & Deborah","213-375-9458","","578 Medical Center Drive North Port, FL 34287 ","Dewey, Joshua","","","Dewey, Deborah","707-448-2850","DeborahTBoggs@pookmail.com"
"Fritz","Fritz, Roberto & Marcia","612-370-6027","","2080 Kelly Drive Reedsville, WV 26547 ","Fritz, Roberto","","","Fritz, Marcia","",""
"Fortunato","Fortunato, Michael & Thelma","541-599-8620","","3409 Allison Avenue Chesapeake, VA 23320 ","Fortunato, Michael","757-649-7264","","Fortunato, Thelma","","","Fortunato, Kenneth","","KennethVBarre@dodgit.com"
"Major","Major, Frank & Mary","304-436-6357","","4406 Martha Ellen Drive Reno, NV 89501 ","Major, Frank","775-789-3201","","Major, Mary","",""
"Langley","Langley, Edward & Norma","408-438-4250","","1846 Kidd Avenue Cape Newenham, AK 99651 ","Langley, Edward","907-794-9759","","Langley, Norma","","","Langley, Nola","",""
"Glen","Glen, Andre & Leonora","770-815-4022","","3746 Circle Drive Houston, TX 77002 ","Glen, Andre","","","Glen, Leonora E","","","Glen, Melba W","516-237-4858",""
"McCoy","McCoy, Malcolm & Donna","214-382-9182","AmandaRPetri@trashymail.com","688 Henry Ford Avenue Tulsa, OK 74115 ","McCoy, Malcolm","918-292-1624","","McCoy, Donna","202-773-4386",""
"Cole","Cole, Richard & Sandra","510-541-0619","","1472 Strother Street Birmingham, AL 35203 ","Cole, Richard","","","Cole, Sandra","559-709-4796",""
"Bridges","Bridges, Kenneth & Cynthia","830-773-5988","","2336 Hidden Valley Road Carlisle, PA 17013 ","Bridges, Kenneth","717-222-3573","","Bridges, Cynthia","",""
"Lawson","Lawson, Stanley & Dominique","","GeorgeJKersten@mailinator.com","1078 Goldie Lane Cincinnati, OH 45203 ","Lawson, Stanley","","StanleyDGauthier@trashymail.com","Lawson, Dominique","","DominiqueJDavis@mailinator.com"
"Scott","Scott, Jose & Carissa","573-242-6196","","1202 Adams Drive Houston, TX 77099 ","Scott, Jose","979-417-7975","","Scott, Carissa","",""
"Barkman","Barkman, James & Dawn","309-676-5777","","3935 Linda Street Philadelphia, PA 19108 ","Barkman, James","","","Barkman, Dawn","","DawnRCaldwell@spambob.com"
"Smith","Smith, Eric J & Karen","702-465-0966","KatieDTerry@spambob.com","1630 Nickel Road Los Angeles, CA 90017 ","Smith, Eric J","","","Smith, Karen","","","Smith, Jeffrey","","","Smith, Mildred","","","Smith, Jody","","JodyAAtkins@spambob.com"
"Wilson","Wilson, Jerry & Shirley","314-252-5420","","3260 Neuport Lane Marietta, GA 30064 ","Wilson, Jerry","","JerryFReece@trashymail.com","Wilson, Shirley","","ShirleyNMartinez@mailinator.com"
"Powell","Powell, Jason & Marian J","860-730-7110","","4029 Godfrey Road New York, NY 10016 ","Powell, Jason","","","Powell, Marian","",""
"Johnson","Johnson, George & Gloria","727-475-0032","JonBCurrin@trashymail.com","2436 North Street Salt Lake City, UT 84111 ","Johnson, George","","","Johnson, Gloria","972-345-1530","","Johnson, Pauline","","","Johnson, Eric","",""
"Dixon","Dixon, Ronnie & Constance","412-600-9250","","4803 Freedom Lane Dos Palos, CA 93620 ","Dixon, Ronnie","","","Dixon, Constance","423-512-8669","","Dixon, Jan","",""
"Jimenez","Jimenez, Richard","979-297-6579","EdithJMullins@trashymail.com","1822 Poling Farm Road Ong, NE 68452 ","Jimenez, Richard","","RichardECrawford@trashymail.com","","","","Jimenez, Mattie","631-492-7833","MattieHPowers@pookmail.com"
"Beasley","Beasley, Terry N & Cynthia E","","JavierSEvans@trashymail.com","2414 Jerome Avenue Harlingen, TX 78550 ","Beasley, Terry N","","","Beasley, Cynthia","","CynthiaEJohnston@dodgit.com","Beasley, Doris A","","","Beasley, Amanda","",""
"Torres","Torres, Michael & Jennifer P","864-250-7525","BettyEGibson@pookmail.com","206 Meadowcrest Lane Danville, KY 40422 ","Torres, Michael","","MichaelEStanley@pookmail.com","Torres, Jennifer","","JenniferPAustin@spambob.com","Torres, Teresa","",""
